Freq (GHz),s11dB,s11phs,s21db,s21phs
6.757,-4.43591E-14,-50.44761683,-18.55024293,-139.661149
6.776,-1.54292E-14,-51.34128104,-18.40662309,-140.497286
6.795,7.71462E-15,-52.24187982,-18.26196992,-141.3375474
6.814,-3.85731E-15,-53.14960884,-18.11626769,-142.1820408
6.833,5.78596E-15,-54.06466989,-17.96950039,-143.0308783
6.852,-2.41082E-14,-54.98727103,-17.82165175,-143.884176
6.871,7.71462E-15,-55.91762676,-17.67270523,-144.7420549
6.89,-6.75029E-15,-56.85595819,-17.52264398,-145.6046405
6.909,-1.63936E-14,-57.80249324,-17.37145092,-146.4720634
6.928,1.92865E-14,-58.7574668,-17.21910863,-147.3444594
6.947,-4.05018E-14,-59.72112088,-17.06559945,-148.2219696
6.966,2.31439E-14,-60.69370481,-16.91090543,-149.1047411
6.985,0,-61.67547535,-16.7550083,-149.9929266
7.004,4.62877E-14,-62.6666969,-16.59788956,-150.8866854
7.023,-1.15719E-14,-63.66764157,-16.4395304,-151.7861829
7.042,-4.05018E-14,-64.67858936,-16.27991173,-152.6915918
7.061,4.05018E-14,-65.69982822,-16.11901419,-153.6030916
7.08,-2.50725E-14,-66.73165418,-15.95681818,-154.5208695
7.099,3.08585E-14,-67.77437141,-15.79330379,-155.4451206
7.118,3.85731E-14,-68.82829223,-15.62845089,-156.3760482
7.137,-2.70012E-14,-69.89373719,-15.4622391,-157.3138642
7.156,4.43591E-14,-70.97103498,-15.29464783,-158.2587896
7.175,-1.83222E-14,-72.06052241,-15.12565623,-159.2110551
7.194,2.12152E-14,-73.16254429,-14.95524329,-160.1709012
7.213,-3.27871E-14,-74.27745329,-14.78338782,-161.1385791
7.232,3.85731E-14,-75.4056097,-14.61006845,-162.1143507
7.251,-3.47158E-14,-76.54738121,-14.43526371,-163.0984899
7.27,1.35006E-14,-77.70314247,-14.25895201,-164.0912823
7.289,2.70012E-14,-78.87327473,-14.08111172,-165.0930268
7.308,2.31439E-14,-80.05816529,-13.90172117,-166.1040352
7.327,1.54292E-14,-81.25820688,-13.72075872,-167.1246337
7.346,-1.35006E-14,-82.4737969,-13.5382028,-168.1551632
7.365,3.47158E-14,-83.70533658,-13.35403197,-169.1959802
7.384,0,-84.95322998,-13.16822501,-170.2474575
7.403,2.31439E-14,-86.21788283,-12.98076094,-171.3099851
7.422,7.71462E-15,-87.49970121,-12.79161916,-172.383971
7.441,-1.15719E-14,-88.79909005,-12.60077949,-173.4698421
7.46,5.78596E-15,-90.1164515,-12.40822232,-174.5680453
7.479,1.92865E-14,-91.45218296,-12.21392872,-175.6790482
7.498,3.08585E-14,-92.80667501,-12.01788053,-176.8033405
7.517,-2.31439E-14,-94.18030906,-11.82006057,-177.9414346
7.536,3.47158E-14,-95.57345474,-11.62045273,-179.0938673
7.555,7.71462E-15,-96.98646703,-11.41904224,179.7387998
7.574,1.73579E-14,-98.41968312,-11.21581578,178.5559783
7.593,-2.12152E-14,-99.87341902,-11.01076178,177.3570524
7.612,3.47158E-14,-101.3479658,-10.80387062,176.1413774
7.631,-4.43591E-14,-102.8435857,-10.59513497,174.9082787
7.65,-3.47158E-14,-104.3605077,-10.38455001,173.6570502
7.669,5.78596E-15,-105.8989229,-10.17211386,172.386953
7.688,-1.15719E-14,-107.4589801,-9.95782792,171.0972148
7.707,-4.05018E-14,-109.0407801,-9.741697291,169.7870279
7.726,1.15719E-14,-110.644371,-9.523731245,168.4555486
7.745,9.64327E-15,-112.2697419,-9.303943737,167.1018957
7.764,-1.54292E-14,-113.9168183,-9.082353967,165.7251499
7.783,2.12152E-14,-115.5854553,-8.858987002,164.3243527
7.802,3.27871E-14,-117.2754327,-8.633874448,162.8985059
7.821,-2.21795E-14,-118.9864485,-8.407055199,161.4465712
7.84,1.92865E-14,-120.718114,-8.17857624,159.96747
7.859,1.92865E-14,-122.4699478,-7.948493533,158.4600834
7.878,4.62877E-14,-124.2413711,-7.716872964,156.9232533
7.897,-0.024632728,-126.0317028,-7.483791375,155.3557832
7.916,-0.123547387,-127.8401554,-7.249337669,153.7564403
7.935,-0.22936112,-129.6658314,-7.013613989,152.1239577
7.954,-0.342356211,-131.5077205,-6.776736972,150.4570378
7.973,-0.462815441,-133.3646975,-6.538839072,148.7543569
7.992,-0.591021251,-135.2355208,-6.300069938,147.0145705
8.011,-0.727254942,-137.1188325,-6.06059784,145.2363202
8.03,-0.871795946,-139.0131588,-5.820611133,143.4182419
8.049,-1.024921198,-140.9169116,-5.580319713,141.5589756
8.068,-1.186904623,-142.8283907,-5.339956464,139.6571778
8.087,-1.358016793,-144.7457877,-5.099778637,137.7115345
8.106,-1.538524759,-146.6671892,-4.860069131,135.7207779
8.125,-1.728692105,-148.590582,-4.621137606,133.6837042
8.144,-1.928779241,-150.5138575,-4.383321379,131.5991946
8.163,-2.139043974,-152.4348168,-4.14698602,129.4662384
8.182,-2.359742362,-154.3511755,-3.91252556,127.2839585
8.201,-2.591129901,-156.2605677,-3.680362232,125.0516391
8.22,-2.833463029,-158.1605493,-3.450945635,122.7687557
8.239,-3.087000999,-160.0486001,-3.224751226,120.4350061
8.258,-3.352008111,-161.922123,-3.002278044,118.0503426
8.277,-3.628756326,-163.7784427,-2.78404557,115.6150045
8.296,-3.917528275,-165.6147991,-2.570589652,113.1295496
8.315,-4.218620672,-167.4283394,-2.362457456,110.5948833
8.334,-4.532348144,-169.2161039,-2.160201408,108.0122851
8.353,-4.859047498,-170.9750075,-1.964372179,105.3834296
8.372,-5.199082437,-172.7018156,-1.775510782,102.7104013
8.391,-5.552848743,-174.3931108,-1.594139925,99.99570165
